org_id,canonical_name,raw_name,normalized_name,clean_name,frequency,source_count,sources,type_info,sector_info,known_group_info,org_signal,all_raw_names,old_org_id,sample_aliases,manual_is_correct_alignment,manual_note
ORG_005015,ROMA,ROMA,ROMA,ROMA,12,1,GDELT,EDU NAN NAN NAN;GOV NAN NAN NAN;LEG NAN NAN NAN,,,12,,ORG_007254,ROMA,,
ORG_007547,ALIBABA GROUP HOLDING LTD,Alibaba Group Holding Ltd,ALIBABA GROUP HOLDING LTD,ALIBABA GROUP HOLDING LTD,2,1,ICEWS,,BUSINESS;SOCIAL,,2,,ORG_012591,ALIBABA GROUP HOLDING LTD; Alibaba Group Holding Ltd,,
ORG_006364,LISU,LISU,LISU,LISU,6,1,GDELT,EDU NAN NAN NAN,,,6,,ORG_009982,LISU,,
ORG_001374,BANGLADESHI,BANGLADESHI,BANGLADESHI,BANGLADESHI,286,1,GDELT,BUS NAN NAN NAN;COP NAN NAN NAN;CRM NAN NAN NAN;EDU NAN NAN NAN;GOV NAN NAN NAN;MED NAN NAN NAN;MIL NAN NAN NAN;OPP NAN NAN NAN;REB NAN NAN NAN;SPY NAN NAN NAN,,,286,,ORG_001485,BANGLADESHI,,
ORG_003333,FEDERAL ASSEMBLY,Federal Assembly,FEDERAL ASSEMBLY,FEDERAL ASSEMBLY,34,1,ICEWS,,GOVERNMENT;LEGISLATIVE / PARLIAMENTARY,,34,,ORG_004258,Federal Assembly; FEDERAL ASSEMBLY,,
ORG_008029,MPEO MAHASE MOILOA,MPEO MAHASE MOILOA,MPEO MAHASE MOILOA,MPEO MAHASE MOILOA,2,1,GDELT,GOV HRI NAN NAN,,,2,,ORG_014015,MPEO MAHASE MOILOA,,
ORG_003488,MOHAMMAD NAJIB ABDUL RAZAK,Mohammad Najib Abdul Razak,MOHAMMAD NAJIB ABDUL RAZAK,MOHAMMAD NAJIB ABDUL RAZAK,30,1,ICEWS,,ELITE;GOVERNMENT,,30,,ORG_004538,Mohammad Najib Abdul Razak; MOHAMMAD NAJIB ABDUL RAZAK,,
ORG_004603,VIKTOR YUSHCHENKO,Viktor Yushchenko,VIKTOR YUSHCHENKO,VIKTOR YUSHCHENKO,14,2,GDELT;ICEWS,GOV NAN NAN NAN,(NATIONAL) MINOR PARTY;CENTER RIGHT;ELITE;IDEOLOGICAL;PARTIES,,14,,ORG_006432,Viktor Yushchenko; VIKTOR YUSHCHENKO,,
ORG_000869,MINIST OF INFORMATION,MINIST OF INFORMATION,MINIST OF INFORMATION,MINIST OF INFORMATION,680,1,GDELT,GOV MED COP NAN;GOV MED ELI NAN;GOV MED MED NAN;GOV MED NAN NAN,,,680,,ORG_000913,MINIST OF INFORMATION,,
ORG_007610,STATE BANK OF INDIA,State Bank of India,STATE BANK OF INDIA,STATE BANK OF INDIA,2,1,ICEWS,,BUSINESS;SOCIAL,,2,,ORG_013010,STATE BANK OF INDIA; State Bank of India,,
ORG_000430,BORIS JOHNSON,Boris Johnson,BORIS JOHNSON,BORIS JOHNSON,1728,1,ICEWS,,(NATIONAL) MAJOR PARTY;CENTER RIGHT;ELITE;EXECUTIVE;EXECUTIVE OFFICE;GOVERNMENT;IDEOLOGICAL;PARTIES,,1728,,ORG_000445,Boris Johnson; BORIS JOHNSON,,
ORG_005040,ANTHONY NORMAN ALBANESE,ANTHONY NORMAN ALBANESE,ANTHONY NORMAN ALBANESE,ANTHONY NORMAN ALBANESE,12,1,GDELT,GOV BUS NAN NAN,,,12,,ORG_007279,ANTHONY NORMAN ALBANESE,,
ORG_008283,NEW GOLD INC,NEW GOLD INC,NEW GOLD INC,NEW GOLD INC,2,1,GDELT,MNC NAN NAN NAN,,,2,,ORG_014272,NEW GOLD INC,,
ORG_007533,DATAFOLHA,Datafolha,DATAFOLHA,DATAFOLHA,3,1,ICEWS,,BUSINESS;CONSULTING / FINANCIAL SERVICES BUSINESS;SOCIAL,,3,,ORG_012492,DATAFOLHA; Datafolha,,
ORG_000234,OPERATIVE,OPERATIVE,OPERATIVE,OPERATIVE,3728,1,GDELT,SPY BUS NAN NAN;SPY CRM NAN NAN;SPY ELI NAN NAN;SPY GOV NAN NAN;SPY MIL NAN NAN;SPY NAN NAN NAN;SPY SPY NAN NAN;SPY UAF NAN NAN,,,3728,,ORG_000240,OPERATIVE,,
ORG_002334,DONETSK,DONETSK,DONETSK,DONETSK,86,1,GDELT,EDU NAN NAN NAN;ELI NAN NAN NAN;GOV NAN NAN NAN;JUD NAN NAN NAN;MIL NAN NAN NAN;SEP NAN NAN NAN,,,86,,ORG_002733,DONETSK,,
ORG_003762,RADIO OKAPI,Radio Okapi,RADIO OKAPI,RADIO OKAPI,25,1,ICEWS,,MEDIA;NEWS;ONLINE NEWS;RADIO NEWS;SOCIAL,,25,,ORG_004953,Radio Okapi; RADIO OKAPI,,
ORG_003996,TOURISM OFFICE,TOURISM OFFICE,TOURISM OFFICE,TOURISM OFFICE,22,1,GDELT,BUS GOV NAN NAN;BUS NAN NAN NAN,,,22,,ORG_005342,TOURISM OFFICE,,
ORG_000857,UNDERSECRETARY,UNDERSECRETARY,UNDERSECRETARY,UNDERSECRETARY,704,1,GDELT,GOV GOV NAN NAN;GOV NAN NAN NAN,,,704,,ORG_000900,UNDERSECRETARY; UNDERSECRETARY (CHILE); Undersecretary (Chile); UNDERSECRETARY (PHILIPPINES); Undersecretary (Philippines),,
ORG_005355,VASILY NEBENZYA,Vasily Nebenzya,VASILY NEBENZYA,VASILY NEBENZYA,9,1,ICEWS,,EXECUTIVE;FOREIGN MINISTRY;GOVERNMENT,,9,,ORG_007857,Vasily Nebenzya; VASILY NEBENZYA,,
ORG_001056,PANAMA,Panama,PANAMA,PANAMA,486,2,GDELT;ICEWS,BUS NAN NAN NAN;COP NAN NAN NAN;EDU NAN NAN NAN;ELI NAN NAN NAN;GOV BUS NAN NAN;GOV NAN NAN NAN;JUD NAN NAN NAN;MED NAN NAN NAN;MIL NAN NAN NAN,,,486,,ORG_001119,PANAMA; Panama,,
ORG_008325,MINIST OF NATIONAL ECONOMY,MINIST OF NATIONAL ECONOMY,MINIST OF NATIONAL ECONOMY,MINIST OF NATIONAL ECONOMY,2,1,GDELT,GOV NAN NAN NAN,,,2,,ORG_014314,MINIST OF NATIONAL ECONOMY,,
ORG_005670,CASABLANCA,CASABLANCA,CASABLANCA,CASABLANCA,8,1,GDELT,BUS NAN NAN NAN;EDU NAN NAN NAN;JUD NAN NAN NAN,,,8,,ORG_008562,CASABLANCA,,
ORG_005227,JOSEPH WARIOBA,JOSEPH WARIOBA,JOSEPH WARIOBA,JOSEPH WARIOBA,10,1,GDELT,ELI JUD NAN NAN;ELI NAN NAN NAN,,,10,,ORG_007656,JOSEPH WARIOBA,,
ORG_001692,DRUG KINGPIN,DRUG KINGPIN,DRUG KINGPIN,DRUG KINGPIN,180,1,GDELT,CRM BUS NAN NAN;CRM NAN NAN NAN,,,180,,ORG_001881,DRUG KINGPIN,,
ORG_000743,CIVIL SERVANT,CIVIL SERVANT,CIVIL SERVANT,CIVIL SERVANT,848,1,GDELT,GOV GOV NAN NAN;GOV LAB NAN NAN;GOV LEG NAN NAN;GOV NAN NAN NAN,,,848,,ORG_000779,CIVIL SERVANT; CIVIL SERVANT (MALAYSIA); Civil Servant (Malaysia); Civil Servant (Nigeria); CIVIL SERVANT (NIGERIA),,
ORG_006744,COLUMBUS MCKINNON CORPORATION,COLUMBUS MCKINNON CORPORATION,COLUMBUS MCKINNON CORPORATION,COLUMBUS MCKINNON CORPORATION,4,1,GDELT,MNC NAN NAN NAN,,,4,,ORG_011118,COLUMBUS MCKINNON CORPORATION,,
ORG_005163,BIO RAD LABORATORIES,BIO RAD LABORATORIES,BIO RAD LABORATORIES,BIO RAD LABORATORIES,10,1,GDELT,MNC NAN NAN NAN,,,10,,ORG_007592,BIO RAD LABORATORIES,,
ORG_005319,BASHKORTOSTAN,Bashkortostan,BASHKORTOSTAN,BASHKORTOSTAN,9,2,GDELT;ICEWS,GOV LAB NAN NAN;GOV NAN NAN NAN,,,9,,ORG_007749,Bashkortostan; BASHKORTOSTAN,,
ORG_003413,MICHAEL D. HIGGINS,Michael D. Higgins,MICHAEL D. HIGGINS,MICHAEL D HIGGINS,32,1,ICEWS,,ELITE;EXECUTIVE;EXECUTIVE OFFICE;GOVERNMENT,,32,,ORG_004396,MICHAEL D. HIGGINS; Michael D. Higgins,,
ORG_005917,JATIYA (NATIONAL) PARTY,Jatiya (national) Party,JATIYA (NATIONAL) PARTY,JATIYA PARTY,6,1,ICEWS,,(NATIONAL) MAJOR PARTY;GOVERNMENT MAJOR PARTY (IN GOVERNMENT);PARTIES,,6,,ORG_008941,JATIYA (NATIONAL) PARTY; Jatiya (national) Party,,
