Justin Trudeau	CAMEO_04	Volodymyr Zelensky	20230103	20230103
Alberto Fernández	CAMEO_03	Governor (Argentina)	20230103	20230103
Governor (Argentina)	CAMEO_03	Alberto Fernández	20230103	20230103
Alberto Fernández	CAMEO_11	Member of the Judiciary (Argentina)	20230103	20230103
Governor (Argentina)	CAMEO_11	Member of the Judiciary (Argentina)	20230103	20230103
Juan Guaidó	CAMEO_01	United States	20230103	20230103
Horacio Rodriguez Larreta	CAMEO_05	Justice Department/Ministery (Argentina)	20230103	20230103
National Union Party (United Kingdom)	CAMEO_14	Unspecified Actor	20230103	20230103
Labor Union (United Kingdom)	CAMEO_14	Unspecified Actor	20230103	20230103
Head of Government (South Korea)	CAMEO_01	South Korea	20230103	20230103
Head of Government (South Korea)	CAMEO_01	United States	20230103	20230103
South Korea	CAMEO_04	United States	20230103	20230103
United States	CAMEO_04	South Korea	20230103	20230103
Executive Office of the President	CAMEO_01	South Korea	20230103	20230103
United States	CAMEO_04	South Korea	20230103	20230103
South Korea	CAMEO_04	United States	20230103	20230103
Military Personnel (China)	CAMEO_01	Xi Jinping	20230103	20230103
Military (Ukraine)	CAMEO_19	Russian Ground Forces	20230103	20230103
Blogger (Russia)	CAMEO_11	Military (Russia)	20230103	20230103
Lawmaker (Russia)	CAMEO_11	Military (Russia)	20230103	20230103
Uzbekistan	CAMEO_01	Military (Russia)	20230103	20230103
Defense / Security Ministry (Russia)	CAMEO_01	Military (Ukraine)	20230103	20230103
Government (Hong Kong)	CAMEO_01	Business (Hong Kong)	20230103	20230103
China	CAMEO_02	Head of Government (China)	20230103	20230103
Head of Government (China)	CAMEO_03	Xi Jinping	20230103	20230103
Head of Government (Turkmenistan)	CAMEO_03	China	20230103	20230103
Court Judge (Argentina)	CAMEO_11	Security Council (Argentina)	20230103	20230103
Immigrants (Mexico)	CAMEO_14	Unspecified Actor	20230103	20230103
Latin America	CAMEO_04	Head of Government (Brazil)	20230103	20230103
Head of Government (Brazil)	CAMEO_04	Latin America	20230103	20230103
Member of the Judiciary (Chile)	CAMEO_01	Head of Government (Chile)	20230103	20230103
Member of the Judiciary (Chile)	CAMEO_01	Congress (Chile)	20230103	20230103
Recep Tayyip Erdoğan	CAMEO_04	Syria	20230103	20230103
Syria	CAMEO_04	Recep Tayyip Erdoğan	20230103	20230103
Russia	CAMEO_01	Military (Ukraine)	20230103	20230103
Governor (Russia)	CAMEO_01	Military (Russia)	20230103	20230103
Alberto Fernández	CAMEO_04	Governor (Argentina)	20230103	20230103
Alberto Fernández	CAMEO_04	People Associated with the Opposition (Argentina)	20230103	20230103
Governor (Argentina)	CAMEO_04	Alberto Fernández	20230103	20230103
